CRIM|INDUS|RM|AGE|DIS|TAX|PTRATIO|LSTAT
0.02731|7.07|6.421|78.9|4.9671|242.0|17.8|9.14
0.03237|2.18|6.997999999999999|45.8|6.0622|222.0|18.7|2.94
0.14455|7.87|6.172000000000001|96.1|5.9505|311.0|15.2|19.15
0.62739|8.14|5.834|56.5|4.4986|307.0|21.0|8.47
1.2324700000000002|8.14|6.142|91.7|3.9769|307.0|21.0|18.72
0.84054|8.14|5.599|85.7|4.4546|307.0|21.0|16.51
0.67191|8.14|5.813|90.3|4.6819999999999995|307.0|21.0|14.81
1.13081|8.14|5.712999999999999|94.1|4.2330000000000005|307.0|21.0|22.6
0.08014|5.96|5.85|41.5|3.9342|279.0|19.2|8.77
0.15936|6.91|6.211|6.5|5.7209|233.0|17.9|7.44
0.21977|6.91|5.602|62.0|6.0877|233.0|17.9|16.2
0.08872999999999999|5.64|5.962999999999999|45.7|6.8147|243.0|16.8|13.45
0.01951|1.38|7.104|59.5|9.2229|216.0|18.6|8.05
0.13554000000000002|6.07|5.593999999999999|36.8|6.497999999999999|345.0|18.9|13.09
0.15875999999999998|10.81|5.961|17.5|5.2873|305.0|19.2|9.88
0.09164|10.81|6.065|7.8|5.2873|305.0|19.2|5.52
0.07896|12.83|6.273|6.0|4.2515|398.0|18.7|6.78
0.10153|12.83|6.279|74.5|4.0522|398.0|18.7|11.97
0.03551|4.86|6.167000000000001|46.7|5.4007|281.0|19.0|7.51
0.05188|4.49|6.015|45.1|4.4272|247.0|18.5|12.86
0.07151|4.49|6.121|56.8|3.7476|247.0|18.5|8.44
0.1396|8.56|6.167000000000001|90.0|2.421|384.0|20.9|12.33
0.26363000000000003|8.56|6.229|91.2|2.5451|384.0|20.9|15.55
0.17134000000000002|10.01|5.928|88.2|2.4631|432.0|17.8|15.76
0.07165|25.65|6.004|84.1|2.1974|188.0|19.1|14.27
0.38735|25.65|5.6129999999999995|95.6|1.7572|188.0|19.1|27.26
0.88125|21.89|5.6370000000000005|94.7|1.9799|437.0|21.2|18.34
0.32982|21.89|5.822|95.4|2.4699|437.0|21.2|15.03
0.32264|21.89|5.942|93.5|1.9669|437.0|21.2|16.9
1.62864|21.89|5.019|100.0|1.4394|437.0|21.2|34.41
4.0974|19.58|5.468|100.0|1.4118|403.0|14.7|26.42
2.7797400000000003|19.58|4.9030000000000005|97.8|1.3459|403.0|14.7|29.29
2.14918|19.58|5.709|98.5|1.6232|403.0|14.7|15.79
3.53501|19.58|6.152|82.6|1.7455|403.0|14.7|15.02
2.44668|19.58|5.272|94.0|1.7364|403.0|14.7|16.14
2.01019|19.58|7.928999999999999|96.2|2.0459|403.0|14.7|3.7
0.06642|4.05|6.86|74.4|2.9153|296.0|16.6|6.92
0.09068|3.44|6.9510000000000005|21.5|6.4798|398.0|15.2|5.1
0.01381|0.46|7.875|32.0|5.6484|255.0|14.4|2.97
0.04011|1.52|7.287000000000001|34.1|7.309|329.0|12.6|4.08
0.0351|2.68|7.853|33.2|5.118|224.0|14.7|3.81
0.43571|10.59|5.343999999999999|100.0|3.875|277.0|18.6|23.09
0.19802|10.59|6.182|42.4|3.9454|277.0|18.6|9.47
0.0456|13.89|5.888|56.0|3.1121|276.0|16.4|13.51
0.38214|6.2|8.04|86.5|3.2157|307.0|17.4|3.13
0.33045|6.2|6.086|61.5|3.6519|307.0|17.4|10.88
0.51183|6.2|7.358|71.6|4.148|307.0|17.4|4.73
0.09252|4.93|6.606|42.2|6.1899|300.0|16.6|7.37
0.10612|4.93|6.095|65.1|6.3361|300.0|16.6|12.4
0.12757000000000002|4.93|6.393|7.8|7.0355|300.0|16.6|5.19
0.08221|5.86|6.957000000000001|6.8|8.9067|330.0|19.1|3.53
0.04819|3.64|6.108|32.0|9.2203|315.0|16.4|6.57
0.035480000000000005|3.64|5.876|19.1|9.2203|315.0|16.4|9.25
0.55007|3.97|7.206|91.6|1.9301|264.0|13.0|8.1
0.76162|3.97|5.56|62.8|1.9865|264.0|13.0|10.45
0.7857|3.97|7.013999999999999|84.6|2.1329|264.0|13.0|14.79
0.10469|6.41|7.267|49.0|4.7872|254.0|17.6|6.05
0.21038|3.33|6.812|32.2|4.1007|216.0|14.9|4.85
0.03578|3.33|7.82|64.5|4.6947|216.0|14.9|3.76
0.03705|3.33|6.968|37.2|5.2447|216.0|14.9|4.59
0.06129|3.33|7.645|49.7|5.2119|216.0|14.9|3.01
0.0459|5.32|6.315|45.6|7.3172|293.0|16.6|7.6
0.14103|13.92|5.79|58.0|6.32|289.0|16.0|15.84
0.49298|9.9|6.635|82.5|3.3175|304.0|18.4|4.54
0.26938|9.9|6.266|82.8|3.2628|304.0|18.4|7.9
0.31827|9.9|5.914|83.2|3.9986|304.0|18.4|18.33
0.24522|9.9|5.782|71.7|4.0317|304.0|18.4|15.94
0.47547|9.9|6.1129999999999995|58.8|4.0019|304.0|18.4|12.73
0.03961|5.19|6.037000000000001|34.5|5.9853|224.0|20.2|8.01
0.03427|5.19|5.869|46.3|5.2311|224.0|20.2|9.8
0.01501|2.01|6.635|29.7|8.344|280.0|17.0|5.99
0.07244|1.69|5.8839999999999995|18.5|10.7103|411.0|18.3|7.79
8.98296|18.1|6.212000000000001|97.4|2.1222|666.0|20.2|17.6
3.8497|18.1|6.395|91.0|2.5052|666.0|20.2|13.27
13.5222|18.1|3.863|100.0|1.5106|666.0|20.2|13.33
9.2323|18.1|6.216|100.0|1.1691|666.0|20.2|9.53
15.8744|18.1|6.545|99.1|1.5192|666.0|20.2|21.08
20.0849|18.1|4.368|91.2|1.4395|666.0|20.2|30.63
22.5971|18.1|5.0|89.5|1.5184|666.0|20.2|31.99
6.96215|18.1|5.712999999999999|97.0|1.9265|666.0|20.2|17.11
5.29305|18.1|6.051|82.5|2.1678|666.0|20.2|18.76
8.64476|18.1|6.193|92.6|1.7912|666.0|20.2|15.17
8.71675|18.1|6.471|98.8|1.7257|666.0|20.2|17.12
5.87205|18.1|6.405|96.0|1.6768|666.0|20.2|19.37
38.3518|18.1|5.452999999999999|100.0|1.4896|666.0|20.2|30.59
9.59571|18.1|6.404|100.0|1.639|666.0|20.2|20.31
67.9208|18.1|5.683|100.0|1.4254|666.0|20.2|22.98
28.6558|18.1|5.155|100.0|1.5894|666.0|20.2|20.08
7.05042|18.1|6.103|85.1|2.0218|666.0|20.2|23.29
10.0623|18.1|6.832999999999999|94.3|2.0882|666.0|20.2|19.69
9.32909|18.1|6.185|98.7|2.2616|666.0|20.2|18.13
4.812130000000002|18.1|6.7010000000000005|90.0|2.5975|666.0|20.2|16.42
7.83932|18.1|6.209|65.4|2.9634|666.0|20.2|13.22
3.1636|18.1|5.7589999999999995|48.2|3.0665|666.0|20.2|14.13
15.5757|18.1|5.926|71.0|2.9084|666.0|20.2|18.13
4.34879|18.1|6.167000000000001|84.0|3.0334|666.0|20.2|16.29
4.03841|18.1|6.229|90.7|3.0993|666.0|20.2|12.87
0.18337|27.74|5.414|98.3|1.7554|711.0|20.1|23.97
0.11132|27.74|5.983|83.5|2.1099|711.0|20.1|13.35
0.2896|9.69|5.39|72.9|2.7986|391.0|19.2|21.14
0.22438|9.69|6.027|79.7|2.4982|391.0|19.2|14.33
