CRIM|INDUS|RM|AGE|DIS|TAX|PTRATIO|LSTAT
0.04932|2.18|6.849|70.3|3.1827|222.0|18.4|7.53
0.02543|3.78|6.696000000000001|56.4|5.7321|370.0|17.6|7.18
0.22927|6.91|6.03|85.5|5.6894|233.0|17.9|18.8
0.05789|6.07|5.877999999999999|21.4|6.497999999999999|345.0|18.9|8.1
3.67822|18.1|5.362|96.2|2.1036|666.0|20.2|10.19
0.59005|21.89|6.372000000000001|97.9|2.3274|437.0|21.2|11.12
0.03615|4.95|6.63|23.4|5.1167|245.0|19.2|4.7
1.35472|8.14|6.072|100.0|4.175|307.0|21.0|13.04
0.11069|13.89|5.9510000000000005|93.8|2.8893|276.0|16.4|17.92
0.04684|3.41|6.417000000000001|66.1|3.0923|270.0|17.8|8.81
5.7081800000000005|18.1|6.75|74.9|3.3317|666.0|20.2|7.74
0.03049|3.78|6.874|28.1|6.4654|370.0|17.6|4.61
0.14476|10.01|5.731|65.2|2.7592|432.0|17.8|13.61
0.04379|3.37|5.787000000000001|31.1|6.6115|337.0|16.1|10.24
0.26169000000000003|9.9|6.023|90.4|2.8339999999999996|304.0|18.4|11.72
11.9511|18.1|5.608|100.0|1.2852|666.0|20.2|12.13
15.288|18.1|6.649|93.3|1.3449|666.0|20.2|23.24
0.52693|6.2|8.725|83.0|2.8944|307.0|17.4|4.63
0.03445|2.03|6.162000000000001|38.4|6.27|348.0|14.7|7.43
2.36862|19.58|4.926|95.7|1.4608|403.0|14.7|29.53
0.25356|9.9|5.705|77.7|3.945|304.0|18.4|11.5
2.15505|19.58|5.627999999999999|100.0|1.5166|403.0|14.7|16.65
0.3692|9.9|6.567|87.3|3.6023|304.0|18.4|9.28
0.34109|7.38|6.415|40.1|4.7211|287.0|19.6|6.12
0.03584|3.37|6.29|17.8|6.6115|337.0|16.1|4.67
15.8603|18.1|5.896|95.4|1.9096|666.0|20.2|24.39
1.61282|8.14|6.096|96.9|3.7598|307.0|21.0|20.34
0.03113|4.39|6.013999999999999|48.5|8.0136|352.0|18.8|10.53
0.5341199999999999|3.97|7.52|89.4|2.1398|264.0|13.0|7.26
8.15174|18.1|5.39|98.9|1.7281|666.0|20.2|20.85
0.0795|1.69|6.579|35.9|10.7103|411.0|18.3|5.49
0.19133|5.86|5.605|70.2|7.9549|330.0|19.1|18.46
0.02009|2.68|8.033999999999999|31.9|5.118|224.0|14.7|2.88
9.92485|18.1|6.251|96.6|2.198|666.0|20.2|16.44
0.04544|3.24|6.144|32.2|5.8736|430.0|16.9|9.09
0.27957|9.69|5.926|42.6|2.3817|391.0|19.2|13.59
6.2880699999999985|18.1|6.341|96.4|2.072|666.0|20.2|17.79
0.06905|2.18|7.147|54.2|6.0622|222.0|18.7|5.33
20.7162|18.1|4.138|100.0|1.1781|666.0|20.2|23.34
5.69175|18.1|6.114|79.8|3.5459|666.0|20.2|14.98
0.06724|3.24|6.332999999999999|17.2|5.2146|430.0|16.9|7.34
0.03738|5.19|6.31|38.5|6.4584|224.0|20.2|6.75
0.6147|6.2|6.617999999999999|80.8|3.2721|307.0|17.4|7.6
6.39312|18.1|6.162000000000001|97.4|2.206|666.0|20.2|24.1
10.232999999999999|18.1|6.185|96.7|2.1705|666.0|20.2|18.03
11.8123|18.1|6.824|76.5|1.794|666.0|20.2|22.74
1.83377|19.58|7.8020000000000005|98.2|2.0407|403.0|14.7|1.92
13.3598|18.1|5.8870000000000005|94.7|1.7821|666.0|20.2|16.35
2.924|19.58|6.101|93.0|2.2834|403.0|14.7|9.81
0.22876|8.56|6.405|85.4|2.7147|384.0|20.9|10.63
4.64689|18.1|6.98|67.6|2.5329|666.0|20.2|11.66
0.1029|4.93|6.358|52.9|7.0355|300.0|16.6|11.22
0.02985|2.18|6.43|58.7|6.0622|222.0|18.7|5.21
2.3004|19.58|6.319|96.1|2.1|403.0|14.7|11.1
0.20746|27.74|5.093|98.0|1.8226|711.0|20.1|29.68
0.11027|5.13|6.456|67.8|7.2255|284.0|19.7|6.73
9.91655|18.1|5.852|77.8|1.5004|666.0|20.2|29.97
0.7904100000000001|9.9|6.122000000000001|52.8|2.6403|304.0|18.4|5.98
0.7842|8.14|5.99|81.7|4.2579|307.0|21.0|14.67
0.33147|6.2|8.247|70.4|3.6519|307.0|17.4|3.95
11.0874|18.1|6.4110000000000005|100.0|1.8589|666.0|20.2|15.02
0.05735|4.49|6.63|56.1|4.4377|247.0|18.5|6.53
7.67202|18.1|5.747000000000001|98.9|1.6334|666.0|20.2|19.92
8.49213|18.1|6.348|86.1|2.0527|666.0|20.2|17.64
0.28955|10.59|5.412000000000001|9.8|3.5875|277.0|18.6|29.55
0.0578|2.46|6.98|58.4|2.8289999999999997|193.0|17.8|5.04
0.57529|6.2|8.337|73.3|3.8384|307.0|17.4|2.47
0.02498|1.89|6.54|59.7|6.2669|422.0|15.9|8.65
0.08199|13.92|6.0089999999999995|42.3|5.5027|289.0|16.0|10.4
2.24236|19.58|5.854|91.8|2.4219999999999997|403.0|14.7|11.64
0.30347|7.38|6.312|28.9|5.4159|287.0|19.6|6.15
24.3938|18.1|4.652|100.0|1.4672|666.0|20.2|28.28
3.69695|18.1|4.963|91.4|1.7523|666.0|20.2|14.0
1.00245|8.14|6.6739999999999995|87.3|4.239|307.0|21.0|11.98
0.13117|8.56|6.127000000000001|85.2|2.1224|384.0|20.9|14.09
2.81838|18.1|5.7620000000000005|40.3|4.0983|666.0|20.2|10.42
6.53876|18.1|7.016|97.5|1.2024|666.0|20.2|2.96
0.01096|2.25|6.452999999999999|31.9|7.3073|300.0|15.3|8.23
1.4250200000000002|19.58|6.51|100.0|1.7659|403.0|14.7|7.39
0.07886|4.95|7.148|27.7|5.1167|245.0|19.2|3.56
