movie_id|title|Animation|Children's|Comedy|Adventure|Fantasy|Romance|Drama|Action|Crime|Thriller|Horror|Sci-Fi|Documentary|War|Musical|Mystery|Film-Noir|Western
8|Tom and Huck|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15|Cutthroat Island|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0
26|Othello|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
31|Dangerous Minds|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
32|Twelve Monkeys|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0
33|Wings of Courage|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0
43|Restoration|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
44|Mortal Kombat|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0
58|Postino, Il (The Postman)|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
59|Confessional, The (Le Confessionnal)|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0
64|Two if by Sea|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
72|Kicking and Screaming|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
76|Screamers|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0
78|Crossing Guard, The|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
79|Juror, The|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0
80|White Balloon, The (Badkonake Sefid )|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
86|White Squall|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0
95|Broken Arrow|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0
96|In the Bleak Midwinter|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
100|City Hall|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0
102|Mr. Wrong|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
103|Unforgettable|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
107|Muppet Treasure Island|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0
115|Happiness Is in the Field|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
123|Chungking Express|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0
134|Sonic Outlaws|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
135|Down Periscope|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
139|Target|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0
145|Bad Boys|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
146|Amazing Panda Adventure, The|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
150|Apollo 13|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
151|Rob Roy|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0
164|Devil in a Blue Dress|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|1|1|0
170|Hackers|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0
172|Johnny Mnemonic|0|0|0|0|0|0|0|1|0|1|0|1|0|0|0|0|0|0
175|Kids|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
176|Living in Oblivion|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
178|Love & Human Remains|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
179|Mad Love|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
187|Party Girl|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
190|Safe|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
193|Showgirls|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
198|Strange Days|0|0|0|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0
