movie_id|title|Animation|Children's|Comedy|Adventure|Fantasy|Romance|Drama|Action|Crime|Thriller|Horror|Sci-Fi|Documentary|War|Musical|Mystery|Film-Noir|Western
1|Toy Story|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|Jumanji|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
3|Grumpier Old Men|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
4|Waiting to Exhale|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
5|Father of the Bride Part II|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6|Heat|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0
7|Sabrina|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
8|Tom and Huck|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|Sudden Death|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
10|GoldenEye|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0
11|American President, The|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
12|Dracula: Dead and Loving It|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
13|Balto|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14|Nixon|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
15|Cutthroat Island|0|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0
16|Casino|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0
17|Sense and Sensibility|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
18|Four Rooms|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
19|Ace Ventura: When Nature Calls|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|Money Train|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0
21|Get Shorty|0|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0
22|Copycat|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0
23|Assassins|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0
24|Powder|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0
25|Leaving Las Vegas|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
26|Othello|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
27|Now and Then|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
28|Persuasion|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29|City of Lost Children, The|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0
30|Shanghai Triad (Yao a yao yao dao waipo qiao)|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
31|Dangerous Minds|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
32|Twelve Monkeys|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0
33|Wings of Courage|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0
34|Babe|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
35|Carrington|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
36|Dead Man Walking|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
37|Across the Sea of Time|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
38|It Takes Two|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
39|Clueless|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
40|Cry, the Beloved Country|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
41|Richard III|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0
42|Dead Presidents|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0
43|Restoration|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
44|Mortal Kombat|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0
45|To Die For|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
46|How to Make an American Quilt|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
47|Seven (Se7en)|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0
48|Pocahontas|1|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0
49|When Night Is Falling|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
50|Usual Suspects, The|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0
51|Guardian Angel|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|0|0
52|Mighty Aphrodite|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
53|Lamerica|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
54|Big Green, The|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
55|Georgia|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
56|Kids of the Round Table|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0
57|Home for the Holidays|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0
58|Postino, Il (The Postman)|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0
59|Confessional, The (Le Confessionnal)|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0
